Name;DisplayName;SamAccountName;GivenName;SurName;Department;Title;City;Country;Company;HomePage;Description
Helmut Schön;Helmut Schön;SchoenH;Helmut;Schön;Trainer;Bundestrainer;Dresden;DE;DFB;http://www.dfb.de;Weltmeister 1974
Jupp Derwall;Jupp Derwall;DerwallJ;Jupp;Derwall;Trainer;Trainerassistent;Würselen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Sepp Maier;Sepp Maier;MaierS;Sepp;Maier;Tor;Feldspieler;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Wolfgang Kleff;Wolfgang Kleff;KleffW;Wolfgang;Kleff;Tor;Ersatzspieler;Moenchengladbach;DE;DFB;http://www.dfb.de;Weltmeister 1974
Norbert Nigbur;Norbert Nigbur;NigburN;Norbert;Nigbur;Tor;Ersatzspieler;Gelsenkirchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Franz Beckenbauer;Franz Beckenbauer;BeckenbauerF;Franz;Beckenbauer;Abwehr;Kapitän;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Paul Breitner;Paul Breitner;BreitnerP;Paul;Breitner;Abwehr;Feldspieler;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Horst-Dieter Höttges;Horst-Dieter Höttges;HoettgesH;Horst-Dieter;Höttges;Abwehr;Feldspieler;Bremen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Georg Schwarzenbeck;Georg Schwarzenbeck;SchwarzenbeckG;Georg;Schwarzenbeck;Abwehr;Feldspieler;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Berti Vogts;Berti Vogts;VogtsB;Berti;Vogts;Abwehr;Feldspieler;Moenchengladbach;DE;DFB;http://www.dfb.de;Weltmeister 1974
Helmut Kremers;Helmut Kremers;KremersH;Helmut;Kremers;Abwehr;Ersatzspieler;Gelsenkirchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Rainer Bonhof;Rainer Bonhof;BonhofR;Rainer;Bonhof;Mittelfeld;Feldspieler;Moenchengladbach;DE;DFB;http://www.dfb.de;Weltmeister 1974
Bernhard Cullmann;Bernhard Cullmann;CullmannB;Bernhard;Cullmann;Mittelfeld;Feldspieler;Koeln;DE;DFB;http://www.dfb.de;Weltmeister 1974
Heinz Flohe;Heinz Flohe;FloheH;Heinz;Flohe;Mittelfeld;Feldspieler;Koeln;DE;DFB;http://www.dfb.de;Weltmeister 1974
Ulrich Hoeneß;Ulrich Hoeneß;HoenessU;Ulrich;Hoeneß;Mittelfeld;Feldspieler;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Günter Netzer;Günter Netzer;NetzerG;Günter;Netzer;Mittelfeld;Feldspieler;Madrid;DE;DFB;http://www.dfb.de;Weltmeister 1974
Wolfgang Overath;Wolfgang Overath;OverathW;Wolfgang;Overath;Mittelfeld;Feldspieler;Koeln;DE;DFB;http://www.dfb.de;Weltmeister 1974
Herbert Wimmer;Herbert Wimmer;WimmerH;Herbert;Wimmer;Mittelfeld;Feldspieler;Moenchengladbach;DE;DFB;http://www.dfb.de;Weltmeister 1974
Jupp Kapellmann;Jupp Kapellmann;KapellmannJ;Jupp;Kapellmann;Mittelfeld;Ersatzspieler;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
Jürgen Grabowski;Jürgen Grabowski;GrabowskiJ;Jürgen;Grabowski;Angriff;Feldspieler;Frankfurt;DE;DFB;http://www.dfb.de;Weltmeister 1974
Dieter Herzog;Dieter Herzog;HerzogD;Dieter;Herzog;Angriff;Feldspieler;Duesseldorf;DE;DFB;http://www.dfb.de;Weltmeister 1974
Jupp Heynckes;Jupp Heynckes;HeynckesJ;Jupp;Heynckes;Angriff;Feldspieler;Moenchengladbach;DE;DFB;http://www.dfb.de;Weltmeister 1974
Bernd Hölzenbein;Bernd Hölzenbein;HoelzenbeinB;Bernd;Hölzenbein;Angriff;Feldspieler;Frankfurt;DE;DFB;http://www.dfb.de;Weltmeister 1974
Gerd Müller;Gerd Müller;MuellerG;Gerd;Müller;Angriff;Feldspieler;Muenchen;DE;DFB;http://www.dfb.de;Weltmeister 1974
