Name;DisplayName;SamAccountName;GivenName;SurName;Department;Title;City;Country;Company;HomePage;Description
Joachim Löw;Joachim Löw;LoewJ;Joachim;Löw;Trainer;Bundestrainer;Schönau;DE;DFB;http://www.dfb.de;Weltmeister 2014
Oliver Bierhoff;Oliver Bierhoff;BierhoffO;Oliver;Bierhoff;Trainer;Teammanager;Karlsruhe;DE;DFB;http://www.dfb.de;Weltmeister 2014
Hans-Dieter Flick;Hans-Dieter Flick;FlickH;Hans-Dieter;Flick;Trainer;Trainerassistent;Heidelberg;DE;DFB;http://www.dfb.de;Weltmeister 2014
Andreas Köpke2;Andreas Köpke2;Koepke2A;Andreas;Köpke2;Trainer;Torwarttrainer;Kiel;DE;DFB;http://www.dfb.de;Weltmeister 2014
Manuel Neuer;Manuel Neuer;NeuerM;Manuel;Neuer;Tor;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Roman Weidenfeller;Roman Weidenfeller;WeidenfellerR;Roman;Weidenfeller;Tor;Ersatzspieler;Dortmund;DE;DFB;http://www.dfb.de;Weltmeister 2014
Ron-Robert Zieler;Ron-Robert Zieler;ZielerR;Ron-Robert;Zieler;Tor;Ersatzspieler;Hannover;DE;DFB;http://www.dfb.de;Weltmeister 2014
Jerome Boateng;Jerome Boateng;BoatengJ;Jerome;Boateng;Abwehr;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Erik Durm;Erik Durm;DurmE;Erik;Durm;Abwehr;Ersatzspieler;Dortmund;DE;DFB;http://www.dfb.de;Weltmeister 2014
Matthias Ginter;Matthias Ginter;GinterM;Matthias;Ginter;Abwehr;Ersatzspieler;Freiburg;DE;DFB;http://www.dfb.de;Weltmeister 2014
Kevin Großkreutz;Kevin Großkreutz;GrosskreutzK;Kevin;Großkreutz;Abwehr;Ersatzspieler;Dortmund;DE;DFB;http://www.dfb.de;Weltmeister 2014
Benedikt Höwedes;Benedikt Höwedes;HoewedesB;Benedikt;Höwedes;Abwehr;Feldspieler;Gelsenkirchen;DE;DFB;http://www.dfb.de;Weltmeister 2014
Mats Hummels;Mats Hummels;HummelsM;Mats;Hummels;Abwehr;Feldspieler;Dortmund;DE;DFB;http://www.dfb.de;Weltmeister 2014
Per Mertesacker;Per Mertesacker;MertesackerP;Per;Mertesacker;Abwehr;Feldspieler;London;DE;DFB;http://www.dfb.de;Weltmeister 2014
Shkodran Mustafi;Shkodran Mustafi;MustafiS;Shkodran;Mustafi;Abwehr;Feldspieler;Genua;DE;DFB;http://www.dfb.de;Weltmeister 2014
Julian Draxler;Julian Draxler;DraxlerJ;Julian;Draxler;Mittelfeld;Feldspieler;Gelsenkirchen;DE;DFB;http://www.dfb.de;Weltmeister 2014
Sami Khedira;Sami Khedira;KhediraS;Sami;Khedira;Mittelfeld;Feldspieler;Madrid;DE;DFB;http://www.dfb.de;Weltmeister 2014
Christoph Kramer;Christoph Kramer;KramerC;Christoph;Kramer;Mittelfeld;Feldspieler;Mönchengladbach;DE;DFB;http://www.dfb.de;Weltmeister 2014
Toni Kroos;Toni Kroos;KroosT;Toni;Kroos;Mittelfeld;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Philipp Lahm;Philipp Lahm;LahmP;Philipp;Lahm;Mittelfeld;Kapitän;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Mesut Özil;Mesut Özil;OezilM;Mesut;Özil;Mittelfeld;Feldspieler;London;DE;DFB;http://www.dfb.de;Weltmeister 2014
Bastian Schweinsteiger;Bastian Schweinsteiger;SchweinsteigerB;Bastian;Schweinsteiger;Mittelfeld;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Mario Götze;Mario Götze;GoetzeM;Mario;Götze;Angriff;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Miroslav Klose;Miroslav Klose;KloseM;Miroslav;Klose;Angriff;Feldspieler;Rom;DE;DFB;http://www.dfb.de;Weltmeister 2014
Thomas Müller;Thomas Müller;MuellerT;Thomas;Müller;Angriff;Feldspieler;München;DE;DFB;http://www.dfb.de;Weltmeister 2014
Lukas Podolski;Lukas Podolski;PodolskiL;Lukas;Podolski;Angriff;Feldspieler;London;DE;DFB;http://www.dfb.de;Weltmeister 2014
Andre Schürrle;Andre Schürrle;SchuerrleA;Andre;Schürrle;Angriff;Feldspieler;London;DE;DFB;http://www.dfb.de;Weltmeister 2014
